Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cluster,gene_set,pathway_group
prerank,M Phase R-HSA-68886,-0.7536263420457604,-1.5647325297619914,0.03307888040712468,0.08754143330666361,0.411,8/11,16.80%,SPC24;TUBA3C;TUBA4B;NUF2;NEK2;CENPA;AURKB;BIRC5,1,Reactome_2022,other
prerank,Transcriptional Regulation By TP53 R-HSA-3700989,-0.8171927362000745,-1.5355714321238183,0.027227722772277228,0.10511331165120168,0.499,6/7,19.40%,CDC25C;EXO1;AURKB;BIRC5;ARTN;E2F7,1,Reactome_2022,senescence
prerank,Mitotic Prometaphase R-HSA-68877,-0.8441295546558705,-1.5337792597951279,0.0273972602739726,0.09781117842039092,0.502,6/6,16.80%,SPC24;NUF2;NEK2;CENPA;AURKB;BIRC5,1,Reactome_2022,cell_cycle
prerank,Signaling By WNT R-HSA-195721,-0.8378416182928403,-1.5308758475016058,0.04221635883905013,0.09258200937249972,0.511,3/6,7.60%,PROC;TERT;KREMEN2,1,Reactome_2022,stemness
prerank,Mitotic Metaphase And Anaphase R-HSA-2555396,-0.7431465190679055,-1.5111461755193458,0.04962779156327544,0.09724539947422563,0.572,7/10,16.80%,SPC24;TUBA3C;TUBA4B;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,cell_cycle
prerank,Mitotic Anaphase R-HSA-68882,-0.7431465190679055,-1.5111461755193458,0.04962779156327544,0.09724539947422563,0.572,7/10,16.80%,SPC24;TUBA3C;TUBA4B;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,cell_cycle
prerank,RHO GTPases Activate Formins R-HSA-5663220,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,other
prerank,Mitotic Spindle Checkpoint R-HSA-69618,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,cell_cycle
prerank,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,other
prerank,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,other
prerank,Separation Of Sister Chromatids R-HSA-2467813,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,other
prerank,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,-0.8424242424242424,-1.452291359573969,0.058165548098434,0.11207811504988326,0.728,5/5,16.80%,SPC24;NUF2;CENPA;AURKB;BIRC5,1,Reactome_2022,cell_cycle
prerank,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,-0.7096982539234111,-1.4042025027579272,0.11827956989247312,0.15060942029738464,0.823,2/8,7.60%,PROC;KREMEN2,1,Reactome_2022,other
prerank,G2/M Checkpoints R-HSA-69481,-0.8222222222222222,-1.4020579649194476,0.10138248847926268,0.14625273944351405,0.826,5/5,18.80%,CDC25C;PKMYT1;EXO1;CDC45;ARTN,1,Reactome_2022,cell_cycle
